health_conditions,Financial_vul,living_alone,weight0,用途分类,Communication and social(emails),Communication and social( video calls),Communication and social(messaging),Communication and social( ),entertainment information(news),entertainment information(products),entertainment(games),entertainment(gaming),entertainment(music),entertainment(movies),entertainment(dating),utility (banking),utility (job),utility (Applying for benefits),utility (public service2),Other,None
No,,No,0.717846,无上网, , , , , , , , , , , , , , , , , 
No,,No,0.688838,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
No,,No,0.688838,通信社交,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
No,,No,0.688838,通信社交,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Yes,,Yes,0.688838,无上网,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Yes,,Yes,0.488211,无上网, , , , , , , , , , , , , , , , , 
No,Potentially,No,0.488211,通信社交,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
No,,Yes,0.43413,无上网, , , , , , , , , , , , , , , , , 
No,,No,0.688838,无上网, , , , , , , , , , , , , , , , , 
No,,Yes,0.488211,无上网, , , , , , , , , , , , , , , , , 
No,,No,0.773681,通信社交,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
No,,No,0.773681,通信社交,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
Yes,Potentially,Yes,0.688838,通信社交,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
No,,Yes,0.688838,通信社交,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
No,,Yes,0.688838,通信社交,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
